symbol,name,horizon_days,model,status,model_status,train_rows,test_rows,eligible_for_comparison,mae,rmse,mape,smape,rmspe,mase,absolute_percentage_error_p50,absolute_percentage_error_p90,directional_accuracy,error_message,arima_order
ena,Ethena,14,ARIMA,success,VALIDATED,292,59,True,0.09256937997231329,0.10869312885693423,26.439466432483083,22.455337635794866,31.27826782546248,2.8925793379479234,28.03946627085599,46.58018405219912,37.28813559322034,,"(1, 1, 1)"
ena,Ethena,14,Naive,success,VALIDATED_BASELINE,292,59,True,0.09020532739247493,0.10735625944240318,25.551940006535276,21.865795999506872,30.49376071427395,2.818708154535998,27.23022476236043,47.359549888086796,0.0,,
ena,Ethena,14,XGBoost,success,EXPERIMENTAL,292,59,True,0.22796716095694253,0.24121780400024748,67.90615335594792,48.50402499368762,75.29101349801473,7.1234472966322695,61.99231172238574,113.30435484030087,18.64406779661017,,
ena,Ethena,30,ARIMA,success,VALIDATED,292,43,True,0.1785107599502069,0.18547009244632634,57.293336981195196,43.44169974226351,61.123881800831875,5.578048983236011,58.42833681701144,81.36188327607717,25.581395348837212,,"(1, 1, 1)"
ena,Ethena,30,Naive,success,VALIDATED_BASELINE,292,43,True,0.17169217384343116,0.18119431423553617,55.3351106196476,41.99570209490259,60.0662569449354,5.364983914717919,56.902877466221135,80.98996311588456,0.0,,
ena,Ethena,30,XGBoost,success,EXPERIMENTAL,292,43,True,0.16389657252236017,0.19386405378424978,58.13788965115054,40.91358440749951,72.29309478254532,5.121389377140225,48.875811484185064,117.07232856820096,51.162790697674424,,
etc,Ethereum Classic,1,ARIMA,success,VALIDATED,292,72,True,0.5392454126892798,0.8694344774266197,3.3624524939877167,3.3049677872630454,5.540630767320227,0.8174488225438962,2.4471549682890155,6.342396187652397,48.61111111111111,,"(1, 1, 2)"
etc,Ethereum Classic,1,Naive,success,VALIDATED_BASELINE,292,72,True,0.5375940172304237,0.8739868949112962,3.340777083569341,3.2971009289833013,5.551498245791706,0.814945451645173,2.42770318522936,5.934027877578362,0.0,,
etc,Ethereum Classic,1,XGBoost,success,EXPERIMENTAL,292,72,True,1.1155771724884793,1.5024796126477966,7.435996243637892,6.971457693656184,10.449257994751287,1.6911172995606374,4.657085178807865,15.950884074585503,44.44444444444444,,
etc,Ethereum Classic,3,ARIMA,success,VALIDATED,292,70,True,0.9280261234076325,1.2892377701516629,5.881427305313086,5.693884913128497,8.272548761079403,1.4068063334767182,4.439843823779901,12.28005683758462,40.0,,"(1, 1, 2)"
